img_paths,id,label,cell_type,patient,height,width,mean_brightness
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828481.jpg,13828481,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.30539230690746
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828443.jpg,13828443,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,197.1243648607285
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828487.jpg,13828487,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,207.08233598612387
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828491.jpg,13828491,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,203.59003418018568
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828384.jpg,13828384,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.2292903785328
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828436.jpg,13828436,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.8274232221202
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828386.jpg,13828386,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,198.74222273237424
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828426.jpg,13828426,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,201.27975716763595
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828380.jpg,13828380,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.0284817875727
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828452.jpg,13828452,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,198.06103713906745
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828493.jpg,13828493,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,200.96958983777165
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828401.jpg,13828401,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,204.45199724517906
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828459.jpg,13828459,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,183.11460820324456
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828437.jpg,13828437,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.69529894908683
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828499.jpg,13828499,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,202.31625854504642
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828462.jpg,13828462,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.14236812570147
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828463.jpg,13828463,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,198.3557927762473
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828415.jpg,13828415,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.32443118049179
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828480.jpg,13828480,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,203.6127563513927
"../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte, variant/VLY_13828445.jpg",13828445,LY,"Lymphocyte, variant",PBC_dataset_APL_AML,363,360,194.34946689113355
"../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte, variant/VLY_13828407.jpg",13828407,LY,"Lymphocyte, variant",PBC_dataset_APL_AML,363,360,196.9673808795021
"../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte, variant/VLY_13828464.jpg",13828464,LY,"Lymphocyte, variant",PBC_dataset_APL_AML,363,360,191.89806397306398
"../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte, variant/VLY_13828483.jpg",13828483,LY,"Lymphocyte, variant",PBC_dataset_APL_AML,363,360,179.5331292725232
"../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte, variant/VLY_13828496.jpg",13828496,LY,"Lymphocyte, variant",PBC_dataset_APL_AML,363,360,202.7041271298847
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828479.jpg,13828479,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.31068513416997
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828383.jpg,13828383,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,190.07771655953474
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828409.jpg,13828409,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.23077747168657
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828465.jpg,13828465,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,185.48670798898073
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828385.jpg,13828385,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,191.51332772166106
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828398.jpg,13828398,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,192.8574813794511
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828393.jpg,13828393,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,182.76271043771044
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828423.jpg,13828423,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.05074482195695
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828503.jpg,13828503,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,190.10150494847466
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828471.jpg,13828471,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.87016630956026
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828501.jpg,13828501,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.4973242526273
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828451.jpg,13828451,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.19336802367104
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828391.jpg,13828391,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,189.99538057341087
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828447.jpg,13828447,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,203.59671207019693
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828433.jpg,13828433,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.33140240791755
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828441.jpg,13828441,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.56585042342618
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828376.jpg,13828376,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.81265687174778
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828468.jpg,13828468,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.25034690337722
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828429.jpg,13828429,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.36403173145598
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828489.jpg,13828489,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,189.44874247525763
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828507.jpg,13828507,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,187.99263085399448
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828392.jpg,13828392,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.063891439649
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828476.jpg,13828476,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,198.6728088970513
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828455.jpg,13828455,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,186.36788593000713
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828374.jpg,13828374,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,186.95594327109478
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828469.jpg,13828469,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,192.88414192429343
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828399.jpg,13828399,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.78622589531682
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828473.jpg,13828473,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.55602234465871
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828453.jpg,13828453,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,189.40683348637893
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828488.jpg,13828488,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,193.1854071013162
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828421.jpg,13828421,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,200.46134833180287
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828396.jpg,13828396,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,203.29172278338945
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828422.jpg,13828422,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.4172201816141
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828408.jpg,13828408,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,183.65785379042956
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828446.jpg,13828446,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.45430823385368
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828467.jpg,13828467,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,200.0368304254668
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828427.jpg,13828427,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.102499744924
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828502.jpg,13828502,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,192.50094633200695
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828425.jpg,13828425,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.8158427711458
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828461.jpg,13828461,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,200.50762167125802
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828495.jpg,13828495,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,182.56145291296806
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828458.jpg,13828458,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.9624451586573
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828411.jpg,13828411,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,185.6320503009897
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828405.jpg,13828405,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,201.76743444546474
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828500.jpg,13828500,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.56236098357311
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828498.jpg,13828498,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,202.7801168248138
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828431.jpg,13828431,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,192.89224823997552
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828417.jpg,13828417,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,198.41254973982248
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828406.jpg,13828406,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,198.7273466993164
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828504.jpg,13828504,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,191.0699520457096
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828404.jpg,13828404,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,194.97868839914295
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828448.jpg,13828448,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.4659294969901
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828440.jpg,13828440,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,190.13139985715742
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828454.jpg,13828454,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.51859504132233
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828377.jpg,13828377,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,193.04629884705642
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828397.jpg,13828397,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,193.87378583817977
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828372.jpg,13828372,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.08929190898888
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828484.jpg,13828484,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,196.56793694520968
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828370.jpg,13828370,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,190.3512422201816
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828412.jpg,13828412,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,198.94650545862666
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828475.jpg,13828475,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.31941638608305
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828390.jpg,13828390,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,204.49789052137538
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828419.jpg,13828419,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,197.61018008366494
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Segmented neutrophils/SNE_13828470.jpg,13828470,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,209.8915059687787
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Promyelocyte/PMY_13828472.jpg,13828472,IG,Promyelocyte,PBC_dataset_APL_AML,363,360,188.95312723191512
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828400.jpg,13828400,MO,Monocyte,PBC_dataset_APL_AML,363,360,187.8830527497194
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828497.jpg,13828497,MO,Monocyte,PBC_dataset_APL_AML,363,360,187.86312366085093
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828434.jpg,13828434,MO,Monocyte,PBC_dataset_APL_AML,363,360,189.0383430262218
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828490.jpg,13828490,MO,Monocyte,PBC_dataset_APL_AML,363,360,187.7911973268034
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828428.jpg,13828428,MO,Monocyte,PBC_dataset_APL_AML,363,360,190.7746454443424
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828439.jpg,13828439,MO,Monocyte,PBC_dataset_APL_AML,363,360,194.70076777879808
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828486.jpg,13828486,MO,Monocyte,PBC_dataset_APL_AML,363,360,193.24384756657483
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828381.jpg,13828381,MO,Monocyte,PBC_dataset_APL_AML,363,360,192.23110396898275
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Monocyte/MO_13828505.jpg,13828505,MO,Monocyte,PBC_dataset_APL_AML,363,360,183.10888429752066
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Smudge cells/SMU_13828403.jpg,13828403,SMU,Smudge cells,PBC_dataset_APL_AML,363,360,203.05328537904296
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Smudge cells/SMU_13828394.jpg,13828394,SMU,Smudge cells,PBC_dataset_APL_AML,363,360,201.74740587695132
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Smudge cells/SMU_13828456.jpg,13828456,SMU,Smudge cells,PBC_dataset_APL_AML,363,360,200.78416998265484
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Smudge cells/SMU_13828410.jpg,13828410,SMU,Smudge cells,PBC_dataset_APL_AML,363,360,204.95917253341497
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Smudge cells/SMU_13828387.jpg,13828387,SMU,Smudge cells,PBC_dataset_APL_AML,363,360,193.23407305377003
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Smudge cells/SMU_13828449.jpg,13828449,SMU,Smudge cells,PBC_dataset_APL_AML,363,360,208.0872742577288
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828413.jpg,13828413,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,206.34618916437097
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828388.jpg,13828388,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,193.0424114886236
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828466.jpg,13828466,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,193.31534537292114
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828432.jpg,13828432,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,198.47062544638302
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828442.jpg,13828442,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,193.99072033465973
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828435.jpg,13828435,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,208.73158351188656
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828389.jpg,13828389,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,201.23540455055607
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828416.jpg,13828416,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,198.84552596673808
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828506.jpg,13828506,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,199.34377359453117
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828418.jpg,13828418,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,204.38440465258648
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828379.jpg,13828379,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,193.6396694214876
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828430.jpg,13828430,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,185.12853535353534
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828492.jpg,13828492,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,204.79935210692787
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828382.jpg,13828382,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,188.18454494439342
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828373.jpg,13828373,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,195.49869656157534
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828438.jpg,13828438,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,197.09320477502297
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828424.jpg,13828424,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,197.71172074278135
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828395.jpg,13828395,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,203.37978777675747
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Lymphocyte/LY_13828420.jpg,13828420,LY,Lymphocyte,PBC_dataset_APL_AML,363,360,194.44606927864504
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Metamyelocyte/MMY_13828482.jpg,13828482,IG,Metamyelocyte,PBC_dataset_APL_AML,363,360,179.44262830323436
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Metamyelocyte/ERB_13828459.jpg,13828459,ERB,Metamyelocyte,PBC_dataset_APL_AML,363,360,183.11460820324456
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Erythroblast/ERB_5708669.jpg,5708669,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,206.56410570349965
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Erythroblast/ERB_5708693.jpg,5708693,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,195.2760203040506
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708751.jpg,5708751,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,180.4494031221304
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708711.jpg,5708711,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,192.9587644117947
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708730.jpg,5708730,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,186.05571625344353
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708700.jpg,5708700,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.02847413529233
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708776.jpg,5708776,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,187.01276145291297
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708772.jpg,5708772,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,189.1472681359045
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708756.jpg,5708756,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,187.6158912355882
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708719.jpg,5708719,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,193.5465284154678
../../data/PBC_dataset_APL_AML/Patient_78/Signed slides/Segmented neutrophils/SNE_5708701.jpg,5708701,SNE,Segmented neutrophils,PBC_dataset_APL_AML,363,360,195.5669217426793
