,label,origin,UMAP_1,UMAP_2,UMAP_3
19406,BA,raabin,13.584365,-11.159456,19.867453
19415,BA,raabin,12.99199,-10.690946,19.689867
20037,BA,barcelone,15.8649845,-10.340777,25.889238
18997,BA,barcelone,15.7765665,-6.721066,25.296844
19226,BA,barcelone,15.895975,-5.4303536,26.160244
20064,BA,barcelone,15.206204,-5.315858,26.916641
19137,BA,raabin,12.693017,-11.443754,19.343058
18626,BA,raabin,12.701291,-11.717101,19.994017
19690,BA,barcelone,15.055676,-5.8407803,25.462492
19886,BA,barcelone,15.4871855,-5.495565,26.666296
19966,BA,barcelone,12.791802,-9.573791,25.836132
19910,BA,barcelone,14.927849,-9.225527,26.936968
18739,BA,barcelone,14.6690855,-4.6535044,26.144552
37553,BA,munich,12.955658,-9.136457,23.677197
37525,BA,munich,14.665121,-8.364426,24.27504
19586,BA,barcelone,16.215729,-7.9164658,25.103308
19480,BA,barcelone,14.57459,-10.7445345,25.65556
37539,BA,munich,15.165683,-7.506006,24.258368
19783,BA,raabin,13.068753,-10.650661,20.35681
19041,BA,barcelone,16.669167,-9.312702,27.093513
18893,BA,barcelone,14.218367,-5.2188993,25.522282
19071,BA,barcelone,12.930064,-9.347926,27.147774
18817,BA,barcelone,16.862991,-9.571521,26.042702
19165,BA,barcelone,14.683658,-5.629708,25.397402
19336,BA,barcelone,17.248123,-7.747494,26.987331
19503,BA,barcelone,16.222979,-7.3421383,25.885527
18686,BA,barcelone,15.824931,-8.818612,25.419163
37540,BA,munich,15.791163,-8.281747,25.018444
19160,BA,barcelone,16.490376,-6.304628,26.138191
19576,BA,barcelone,15.79739,-6.7350497,24.95327
19111,BA,raabin,12.899299,-10.316208,20.137648
18883,BA,barcelone,15.609154,-6.7547364,25.395584
18750,BA,barcelone,15.037804,-6.1095815,25.361393
19745,BA,barcelone,15.37671,-7.0081477,24.947733
18928,BA,barcelone,16.38343,-9.210706,26.200996
18938,BA,barcelone,13.380758,-4.895183,25.873518
19004,BA,barcelone,16.011595,-5.8296328,25.816933
18628,BA,barcelone,16.973417,-7.3620934,26.25376
18647,BA,barcelone,15.110472,-6.8668466,28.205126
19899,BA,raabin,13.448769,-10.975325,19.797283
19393,BA,barcelone,16.544294,-9.30863,25.1315
18653,BA,barcelone,16.69339,-6.9560747,25.481726
19819,BA,raabin,13.068665,-11.138749,20.116934
18959,BA,raabin,13.17424,-10.994691,20.658367
19828,BA,barcelone,16.637968,-6.859918,26.21446
19442,BA,barcelone,13.29114,-5.433778,25.685804
19039,BA,barcelone,13.56048,-5.4419947,25.912601
19787,BA,barcelone,14.335818,-7.576956,28.185211
18700,BA,barcelone,14.228964,-7.173984,25.101042
19395,BA,barcelone,17.150944,-8.167879,27.091087
19965,BA,barcelone,15.890944,-6.4042277,25.888815
19255,BA,barcelone,16.495127,-6.11866,26.614246
18877,BA,barcelone,16.162687,-6.375699,25.379847
18821,BA,raabin,12.489382,-11.432358,19.453648
19112,BA,raabin,12.942625,-11.381637,19.761759
20025,BA,barcelone,14.924981,-8.180216,28.498032
18644,BA,barcelone,15.478642,-5.5430374,25.55004
19059,BA,barcelone,15.897033,-6.645558,28.051624
18718,BA,raabin,12.880437,-11.779279,20.103043
37541,BA,munich,15.741187,-9.748606,24.247923
19671,BA,raabin,13.553086,-11.103324,19.360514
19104,BA,barcelone,15.503024,-7.877458,25.182005
19482,BA,barcelone,15.748923,-7.7719445,25.598497
19856,BA,barcelone,14.885132,-8.251171,28.355211
19577,BA,barcelone,14.10972,-8.653495,26.713125
19341,BA,barcelone,13.122621,-8.591946,28.0679
19624,BA,barcelone,16.358017,-6.7533975,25.807308
18957,BA,barcelone,15.5340395,-6.172965,27.590816
37519,BA,munich,15.92223,-9.570603,25.440866
18874,BA,barcelone,17.014162,-7.4146395,26.209229
18982,BA,barcelone,15.109659,-8.757458,28.41052
19954,BA,barcelone,17.27621,-7.184848,26.49265
19626,BA,barcelone,16.81061,-8.179318,27.346691
19702,BA,barcelone,12.59428,-6.9863844,25.374697
19721,BA,barcelone,15.747377,-6.2571964,27.832338
19635,BA,barcelone,14.28656,-7.5777817,25.777311
19206,BA,barcelone,13.523156,-8.701785,27.701502
19999,BA,raabin,13.218919,-10.774167,20.953913
19858,BA,barcelone,15.506507,-7.7863226,25.97586
18816,BA,barcelone,16.536816,-7.317456,26.704447
19292,BA,barcelone,13.5809355,-10.20195,25.195597
20012,BA,raabin,12.728014,-12.022406,19.67449
19288,BA,barcelone,16.919739,-8.463393,27.43654
19798,BA,barcelone,16.722527,-9.705942,25.845892
19897,BA,barcelone,16.639067,-10.168695,25.824265
19855,BA,barcelone,14.319892,-6.1921883,25.261028
19365,BA,barcelone,16.044611,-8.811316,27.984215
19656,BA,barcelone,13.841151,-8.468287,28.474262
18921,BA,barcelone,16.259773,-9.164212,24.75369
19152,BA,barcelone,16.591846,-7.86745,25.462019
19362,BA,barcelone,16.850775,-7.0259566,26.0517
18762,BA,barcelone,15.89394,-7.296987,25.225813
19438,BA,barcelone,14.257869,-7.5351973,28.479305
18747,BA,barcelone,13.042637,-5.1559963,26.761808
19664,BA,barcelone,16.002707,-6.597246,25.862434
19705,BA,raabin,13.154431,-10.933944,19.916706
19518,BA,barcelone,13.396077,-5.8128195,25.410528
18621,BA,barcelone,16.413906,-6.846212,26.636286
18930,BA,barcelone,15.60788,-6.278995,25.763138
20060,BA,barcelone,13.824985,-8.649292,28.159294
20004,BA,raabin,13.031905,-11.507837,20.224714
19383,BA,barcelone,16.783894,-6.4535303,25.975285
19364,BA,barcelone,13.068594,-5.7579317,24.966946
19418,BA,barcelone,16.645235,-8.711909,26.883684
18951,BA,barcelone,16.134556,-10.216811,25.47067
19184,BA,barcelone,15.494271,-10.5192175,26.233522
19613,BA,raabin,12.999187,-11.082271,20.704779
18692,BA,barcelone,16.178762,-6.410165,25.444248
19903,BA,raabin,13.555126,-10.648191,20.035807
19957,BA,barcelone,14.711835,-4.7149568,25.93885
19661,BA,barcelone,15.559588,-6.351655,25.16547
18752,BA,raabin,13.182249,-10.776536,19.440172
19782,BA,raabin,13.344086,-10.822625,20.757446
19304,BA,barcelone,16.734592,-8.062667,25.557219
19191,BA,barcelone,15.78013,-8.8962,27.150013
18886,BA,barcelone,16.358015,-7.1726093,28.053995
18655,BA,barcelone,14.788999,-5.358481,25.67253
19744,BA,barcelone,14.791557,-5.136293,25.992924
20049,BA,barcelone,16.866951,-9.075133,25.936148
19961,BA,barcelone,14.676854,-5.39078,25.459707
19256,BA,raabin,13.061286,-10.422828,19.71318
18948,BA,barcelone,13.781879,-8.743569,27.437653
19161,BA,barcelone,16.573446,-7.4113154,25.823555
18775,BA,raabin,13.023012,-11.385679,19.406507
18592,BA,barcelone,16.090902,-6.8806005,27.976307
37517,BA,munich,14.193599,-10.360091,24.340574
19559,BA,barcelone,15.868186,-5.2539787,26.540081
19657,BA,barcelone,15.286558,-5.0720334,26.069454
19608,BA,barcelone,17.279507,-7.9671044,26.952229
18901,BA,raabin,12.154651,-10.783542,19.985195
19885,BA,raabin,13.15172,-10.332679,19.311134
19925,BA,barcelone,16.861942,-6.364613,26.63708
19162,BA,raabin,12.982005,-10.387836,20.001982
18814,BA,barcelone,15.41399,-9.685163,27.768822
19513,BA,barcelone,15.634798,-5.768509,25.620083
20033,BA,barcelone,13.980682,-5.9170985,27.531591
18836,BA,barcelone,15.642133,-5.424521,26.15274
18776,BA,barcelone,13.322332,-5.18034,26.638845
19614,BA,raabin,13.634055,-11.124869,19.477165
37566,BA,munich,14.555145,-9.374128,22.640759
19711,BA,barcelone,16.393707,-6.1270933,26.155413
19211,BA,barcelone,15.067389,-6.913875,25.994051
37528,BA,munich,14.466519,-10.209614,23.903978
18866,BA,raabin,13.409653,-11.604507,19.984966
19289,BA,barcelone,13.406881,-5.0245323,25.506866
19600,BA,raabin,13.283551,-11.793591,19.77905
19746,BA,barcelone,15.9032135,-5.8437715,25.73142
19131,BA,raabin,12.517767,-10.617085,20.417002
19781,BA,barcelone,17.123562,-7.797127,26.661085
37560,BA,munich,17.118069,-7.6733804,26.322023
18852,BA,barcelone,16.226683,-6.9240026,25.857725
19143,BA,raabin,13.461509,-10.566595,19.47213
18909,BA,barcelone,16.011248,-7.340548,25.264866
18633,BA,barcelone,16.800373,-9.645208,26.022512
18650,BA,barcelone,16.125772,-5.4773073,25.971313
19927,BA,barcelone,15.977381,-8.20613,25.73987
19030,BA,barcelone,14.647718,-7.819472,28.64826
19028,BA,barcelone,16.282274,-6.6385493,25.501707
18943,BA,barcelone,16.546566,-8.053924,25.913282
18620,BA,barcelone,15.609851,-9.010259,25.623743
18677,BA,barcelone,15.316311,-7.41396,25.10696
19009,BA,barcelone,15.711456,-5.8392386,25.990612
37556,BA,munich,13.091396,-9.086436,23.478386
19241,BA,barcelone,15.526275,-5.0826015,26.230843
18678,BA,barcelone,13.522175,-7.373151,24.61344
18929,BA,barcelone,15.961183,-6.291664,27.244951
19056,BA,raabin,13.195243,-10.881842,20.303936
19301,BA,barcelone,15.59714,-5.4339128,26.266212
18684,BA,barcelone,15.298396,-6.0218735,25.379473
20027,BA,barcelone,14.9417305,-9.828164,24.68216
19562,BA,barcelone,13.951992,-5.2798686,26.199848
19195,BA,barcelone,15.894101,-6.51695,25.407963
19846,BA,barcelone,15.58457,-7.9371686,27.8064
19893,BA,barcelone,14.506103,-8.65779,28.559399
20047,BA,barcelone,15.400007,-6.5637426,25.359684
19363,BA,raabin,12.256612,-11.129989,20.251776
19487,BA,barcelone,16.420979,-9.372149,25.458036
18705,BA,barcelone,16.567633,-8.977495,25.417528
19873,BA,raabin,13.322978,-11.193679,19.576897
19357,BA,raabin,13.184881,-11.31917,20.223604
19344,BA,barcelone,16.782955,-8.65868,26.04396
19027,BA,barcelone,14.254819,-6.2486086,25.049658
18908,BA,barcelone,16.56918,-6.2771254,27.082834
19816,BA,barcelone,14.012158,-9.649118,25.958069
19120,BA,barcelone,15.898476,-6.1166797,25.314013
19947,BA,barcelone,16.828941,-9.557853,26.19804
19773,BA,barcelone,13.775505,-8.707668,28.0771
18944,BA,barcelone,16.874317,-7.909956,25.69063
19932,BA,raabin,13.381208,-10.793862,20.097025
19247,BA,barcelone,16.296513,-8.038097,25.910795
37585,BA,munich,15.554457,-10.5889015,24.340677
19147,BA,barcelone,15.643495,-5.3089013,26.60366
19278,BA,barcelone,14.71329,-8.365708,27.486332
19684,BA,raabin,11.8556185,-10.671995,19.639585
18880,BA,barcelone,15.018439,-7.3162904,26.081295
20087,BA,barcelone,16.917105,-7.813038,27.186245
18808,BA,raabin,12.6030855,-10.944877,20.330124
19941,BA,raabin,12.896666,-10.929519,20.698812
19002,BA,barcelone,15.726732,-5.6935043,27.13242
18740,BA,raabin,12.625888,-11.000773,20.24139
19107,BA,barcelone,16.978588,-8.510928,26.685467
18843,BA,barcelone,16.71809,-8.66081,25.531788
19892,BA,barcelone,16.32019,-8.309277,26.478683
19848,BA,raabin,12.68889,-10.346862,20.241646
19697,BA,barcelone,16.21747,-7.1105266,25.322847
19121,BA,barcelone,14.24698,-5.042644,25.879826
19838,BA,barcelone,15.894481,-8.094996,25.072374
18769,BA,barcelone,15.349595,-10.185795,25.007055
19545,BA,raabin,13.222953,-11.50129,20.15455
18640,BA,raabin,13.401808,-10.914215,20.098928
19451,BA,barcelone,14.606467,-5.8343277,25.932398
19542,BA,barcelone,16.367235,-6.29571,25.701515
19683,BA,barcelone,15.269744,-8.334223,25.926292
31641,BNE,munich,15.409556,-9.120998,25.179062
5951,BNE,barcelone,14.801585,-9.02557,28.171715
6558,BNE,barcelone,12.49584,-7.341947,26.486792
7227,BNE,barcelone,14.001672,-6.61015,26.973244
6826,BNE,barcelone,13.683714,-6.7572064,25.605577
6168,BNE,barcelone,13.478513,-6.307419,26.577347
6530,BNE,barcelone,13.258767,-6.5031533,25.215014
5963,BNE,barcelone,13.563421,-6.733481,26.038599
6725,BNE,barcelone,13.508046,-5.950673,27.32222
6660,BNE,barcelone,14.770295,-5.4171658,26.852966
6032,BNE,barcelone,13.898284,-8.053069,26.654089
6124,BNE,barcelone,12.469292,-6.1927953,25.971998
6627,BNE,barcelone,13.396066,-6.908214,27.822071
6197,BNE,barcelone,13.046357,-6.615686,27.02195
6373,BNE,barcelone,14.874581,-6.9821424,27.015543
7345,BNE,barcelone,14.927798,-6.8831377,27.716587
7165,BNE,barcelone,12.729013,-7.1955504,27.705482
5897,BNE,barcelone,13.209581,-7.2848487,25.173058
6467,BNE,barcelone,13.057394,-7.1306267,26.729757
6919,BNE,barcelone,13.309825,-7.8956356,26.74609
7061,BNE,barcelone,13.262754,-6.3959246,25.722334
6547,BNE,barcelone,12.86685,-5.4450035,25.847208
6085,BNE,barcelone,15.757114,-7.5536923,25.289131
6408,BNE,barcelone,13.756565,-7.8237963,27.7091
6150,BNE,barcelone,13.487368,-5.8513093,26.424057
6540,BNE,barcelone,14.4538965,-7.710177,27.379972
6023,BNE,barcelone,14.186295,-6.455937,25.693035
6709,BNE,barcelone,13.434751,-7.404667,26.439848
6807,BNE,barcelone,15.100888,-7.5122976,27.550798
6761,BNE,barcelone,13.558205,-9.006254,24.66095
6279,BNE,barcelone,12.672897,-6.6423936,27.237131
6386,BNE,barcelone,13.547487,-6.932708,27.430546
7329,BNE,barcelone,14.410692,-7.210467,27.857107
7019,BNE,barcelone,16.120132,-6.715878,27.077707
6705,BNE,barcelone,11.919095,-6.565504,26.162163
6068,BNE,barcelone,13.607069,-7.712107,26.688019
6151,BNE,barcelone,13.151871,-5.1536145,25.75722
6732,BNE,barcelone,12.435545,-6.8179393,27.116709
6586,BNE,barcelone,17.220592,-7.2660785,26.660782
5968,BNE,barcelone,16.359713,-8.322811,27.324425
31587,BNE,munich,12.358444,-8.795145,23.987608
7201,BNE,barcelone,12.921065,-7.2977242,27.914953
6385,BNE,barcelone,13.610084,-7.651443,27.501719
6646,BNE,barcelone,14.540348,-7.133674,27.215168
7399,BNE,barcelone,12.643372,-5.525005,26.329742
6158,BNE,barcelone,12.463209,-7.101056,27.389078
7272,BNE,barcelone,12.71308,-6.5715218,26.987345
6550,BNE,barcelone,13.645836,-6.763351,27.411173
7229,BNE,barcelone,14.651026,-7.2912445,27.877846
6957,BNE,barcelone,14.987823,-7.628788,26.9109
7164,BNE,barcelone,13.553063,-6.8146706,27.60764
5880,BNE,barcelone,12.277212,-5.5616384,26.073032
7445,BNE,barcelone,12.479938,-7.945395,27.516037
6128,BNE,barcelone,13.974735,-6.6815734,26.509819
7224,BNE,barcelone,13.768191,-7.245251,25.908665
5833,BNE,barcelone,14.202012,-7.1215763,27.242401
6108,BNE,barcelone,13.91788,-6.084251,26.803837
7428,BNE,barcelone,14.3027115,-6.115422,26.58082
6330,BNE,barcelone,14.927152,-6.683462,27.75426
7047,BNE,barcelone,14.518401,-8.313231,27.19209
7026,BNE,barcelone,13.451711,-6.423698,26.500639
5859,BNE,barcelone,14.758842,-7.602122,27.850578
5899,BNE,barcelone,12.833892,-7.4097834,25.813158
6926,BNE,barcelone,13.170552,-5.6437283,26.078331
6798,BNE,barcelone,13.551807,-6.7396126,26.593191
6700,BNE,barcelone,12.460091,-5.4040375,26.476841
31638,BNE,munich,15.531561,-5.5585294,25.433182
6942,BNE,barcelone,15.092936,-7.3822374,26.989117
6003,BNE,barcelone,13.287876,-7.7553563,26.024244
6903,BNE,barcelone,12.49789,-7.041917,27.22551
7404,BNE,barcelone,13.380056,-5.510349,26.777405
6939,BNE,barcelone,13.397613,-6.7168603,25.321564
7177,BNE,barcelone,13.984014,-7.774889,26.893236
7066,BNE,barcelone,11.861789,-6.364128,27.060057
31599,BNE,munich,13.322302,-8.99714,24.045597
6499,BNE,barcelone,15.163317,-6.339192,27.55857
7357,BNE,barcelone,12.415448,-5.8269424,26.965048
6427,BNE,barcelone,14.857724,-6.8965087,27.158405
6738,BNE,barcelone,13.04688,-7.816424,27.214085
6268,BNE,barcelone,14.409289,-6.5796266,27.894804
6793,BNE,barcelone,11.775748,-6.767221,27.377651
6893,BNE,barcelone,16.641611,-8.300437,27.549948
7434,BNE,barcelone,13.466965,-5.075077,26.4484
5861,BNE,barcelone,16.319527,-6.765816,26.574247
6429,BNE,barcelone,15.520509,-5.8855157,27.358974
6680,BNE,barcelone,13.571197,-5.485913,26.430769
5876,BNE,barcelone,13.169867,-7.5917945,26.090223
7385,BNE,barcelone,13.024981,-7.4421225,25.285236
6753,BNE,barcelone,16.467094,-7.208946,26.796011
6676,BNE,barcelone,13.619254,-4.8005667,26.161615
6222,BNE,barcelone,14.041042,-7.306265,27.436438
6649,BNE,barcelone,13.755845,-7.967528,26.516445
6346,BNE,barcelone,15.169179,-7.770697,27.819319
6830,BNE,barcelone,12.893312,-8.152898,25.492666
5924,BNE,barcelone,13.324207,-6.0068927,25.770967
6086,BNE,barcelone,14.309293,-5.7122655,27.37099
6286,BNE,barcelone,13.863669,-6.2047844,27.184853
7183,BNE,barcelone,12.540913,-6.185374,26.815134
6603,BNE,barcelone,13.151791,-8.852648,27.334883
5881,BNE,barcelone,16.003729,-6.6738353,28.061422
6828,BNE,barcelone,14.342395,-6.6887245,26.00447
6585,BNE,barcelone,15.315021,-8.387622,25.833029
7444,BNE,barcelone,14.084626,-7.283054,27.850367
6983,BNE,barcelone,13.069238,-6.371585,25.797522
5846,BNE,barcelone,13.193303,-5.4405937,26.539948
7029,BNE,barcelone,13.068619,-8.206185,28.098455
31609,BNE,munich,15.063122,-8.488956,24.852442
6848,BNE,barcelone,14.890633,-5.372565,25.696993
6913,BNE,barcelone,13.919583,-7.1413765,26.335533
7306,BNE,barcelone,13.700863,-7.0616856,27.166914
6804,BNE,barcelone,12.964228,-8.734593,27.39297
6262,BNE,barcelone,12.678865,-7.1896267,25.238886
7205,BNE,barcelone,14.727041,-6.8316584,27.815184
6763,BNE,barcelone,14.370842,-6.810141,26.569712
7221,BNE,barcelone,14.451425,-8.089213,27.683752
31617,BNE,munich,14.170056,-9.600627,23.987856
6292,BNE,barcelone,13.163299,-7.2120733,26.355354
6678,BNE,barcelone,12.763911,-5.7909904,27.075212
6353,BNE,barcelone,13.990346,-7.0521674,27.457596
6658,BNE,barcelone,14.603702,-6.099728,26.759283
6324,BNE,barcelone,12.556712,-7.1424932,27.281229
7451,BNE,barcelone,13.718899,-6.728848,26.147432
31645,BNE,munich,14.698948,-9.864756,26.240784
6239,BNE,barcelone,14.430608,-8.200518,26.6995
5999,BNE,barcelone,12.57046,-5.162111,26.486185
7209,BNE,barcelone,15.474276,-7.8273106,24.851688
5909,BNE,barcelone,13.032559,-7.471111,26.717106
6914,BNE,barcelone,13.041787,-5.6672535,26.567415
31648,BNE,munich,13.808653,-8.2600355,24.33157
5922,BNE,barcelone,12.532348,-5.8318586,27.008455
7349,BNE,barcelone,13.048004,-6.5801625,26.35634
6881,BNE,barcelone,13.21955,-6.193696,25.951832
6568,BNE,barcelone,12.395758,-6.5220237,25.829845
6186,BNE,barcelone,17.11852,-8.213491,27.24093
6159,BNE,barcelone,15.671975,-5.9893527,27.573277
5831,BNE,barcelone,16.5729,-8.851021,27.392218
6440,BNE,barcelone,12.731145,-5.7034187,26.049965
6015,BNE,barcelone,14.566565,-5.6337423,27.171343
6315,BNE,barcelone,16.26125,-7.4769535,27.120491
6469,BNE,barcelone,14.862983,-5.8305597,27.2759
6363,BNE,barcelone,14.274122,-7.5666428,27.67597
6393,BNE,barcelone,12.80913,-5.883856,25.577951
6546,BNE,barcelone,13.177039,-5.6862564,26.673338
6314,BNE,barcelone,13.814828,-6.7267733,25.055044
6935,BNE,barcelone,13.1644535,-5.8741198,26.475054
6383,BNE,barcelone,13.280654,-5.7349205,26.72737
31631,BNE,munich,12.831636,-9.224381,24.33093
6127,BNE,barcelone,13.675068,-6.4906554,26.20412
6431,BNE,barcelone,15.734878,-7.2552238,27.343004
6303,BNE,barcelone,14.751312,-6.1190505,26.409615
6619,BNE,barcelone,13.683312,-7.340238,27.24632
6865,BNE,barcelone,14.9428215,-5.5340466,26.942884
6657,BNE,barcelone,16.553762,-7.8249583,27.752735
5998,BNE,barcelone,13.333427,-7.2812667,25.595402
6012,BNE,barcelone,14.920001,-6.205912,27.137457
7152,BNE,barcelone,13.39341,-8.383859,27.230425
6009,BNE,barcelone,13.796613,-5.7987742,26.44697
7411,BNE,barcelone,16.540062,-8.345815,25.9644
6474,BNE,barcelone,14.057828,-7.432496,28.147657
6395,BNE,barcelone,14.89679,-7.439241,27.571554
7427,BNE,barcelone,14.269953,-6.871181,25.33498
6635,BNE,barcelone,12.356286,-6.466375,26.221243
6077,BNE,barcelone,13.018546,-5.7211585,26.425816
6444,BNE,barcelone,12.698452,-7.051848,25.117966
6073,BNE,barcelone,15.137847,-7.6546817,27.530252
6143,BNE,barcelone,14.230243,-5.716262,27.296764
5931,BNE,barcelone,13.5248575,-7.768091,27.447935
6908,BNE,barcelone,14.143094,-6.866253,26.61249
7034,BNE,barcelone,14.163123,-5.94272,26.347132
6138,BNE,barcelone,13.3054,-6.2559357,24.799961
6069,BNE,barcelone,13.033348,-7.2135825,26.419048
6058,BNE,barcelone,13.205661,-7.053414,26.403618
7225,BNE,barcelone,13.575361,-6.982023,24.84183
7271,BNE,barcelone,13.524549,-6.314542,26.434624
6481,BNE,barcelone,13.154481,-6.068045,26.626062
6216,BNE,barcelone,15.429689,-6.509974,25.89836
31673,BNE,munich,13.9876375,-9.770576,23.885454
7260,BNE,barcelone,13.831828,-7.496541,26.450842
5873,BNE,barcelone,14.062651,-7.6277266,27.875076
6067,BNE,barcelone,13.676392,-5.998333,25.98877
6425,BNE,barcelone,13.984167,-7.2183533,27.714638
5905,BNE,barcelone,13.821699,-7.17949,25.051321
6308,BNE,barcelone,14.654686,-7.2265425,27.0809
6160,BNE,barcelone,15.071756,-6.3238187,27.373255
7417,BNE,barcelone,13.916353,-7.471548,27.685635
7009,BNE,barcelone,14.045727,-7.3492117,27.059778
6756,BNE,barcelone,14.47875,-8.323502,28.04683
6185,BNE,barcelone,15.933246,-8.081277,27.827099
6852,BNE,barcelone,12.689262,-5.524489,26.595028
5995,BNE,barcelone,15.599168,-6.7945657,28.038517
6267,BNE,barcelone,14.780973,-8.527569,27.978304
7099,BNE,barcelone,13.823915,-7.437978,26.43609
6892,BNE,barcelone,13.334906,-7.4050374,26.79792
7141,BNE,barcelone,13.318009,-5.590019,26.664299
7384,BNE,barcelone,14.440702,-7.586781,28.07334
6307,BNE,barcelone,13.301777,-7.992307,27.696898
6174,BNE,barcelone,11.92003,-6.082396,26.752125
31665,BNE,munich,12.298329,-8.559386,23.955729
6582,BNE,barcelone,14.382088,-8.689541,26.717894
7373,BNE,barcelone,13.828311,-6.3119893,27.372976
7189,BNE,barcelone,14.648115,-7.503328,28.032907
5882,BNE,barcelone,12.785878,-6.420902,26.531216
6774,BNE,barcelone,14.089695,-7.76617,27.7519
31586,BNE,munich,14.565658,-10.004916,24.057344
6118,BNE,barcelone,14.087689,-7.154516,26.269064
